method,coverage,s,n,R2_fs
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.96,3,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.975,3,50,0.1
TSLS,0.61,3,50,0.1
PGMM-g,0.86,3,50,0.1
gIVBMA,0.98,3,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.99,3,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,50,0.1
CIIV,0.575,3,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.615,4,50,0.1
"VIPER ($A = \{0\}$, MC)",0.865,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.865,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.93,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.955,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,4,50,0.1
TSLS,0.59,4,50,0.1
PGMM-g,0.83,4,50,0.1
gIVBMA,0.98,4,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1,4,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,4,50,0.1
CIIV,0.575,4,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.565,5,50,0.1
"VIPER ($A = \{0\}$, MC)",0.84,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.825,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.92,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.965,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.985,5,50,0.1
TSLS,0.505,5,50,0.1
PGMM-g,0.82,5,50,0.1
gIVBMA,0.97,5,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.985,5,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,50,0.1
CIIV,0.47,5,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.89,0,50,0.25
"VIPER ($A = \{0\}$, MC)",0.925,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.975,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.98,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.875,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,0,50,0.25
TSLS,0.915,0,50,0.25
PGMM-g,0.99,0,50,0.25
gIVBMA,0.955,0,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1,0,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,50,0.25
CIIV,0.85,0,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.88,1,50,0.25
"VIPER ($A = \{0\}$, MC)",0.915,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.97,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.98,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,1,50,0.25
TSLS,0.83,1,50,0.25
PGMM-g,0.965,1,50,0.25
gIVBMA,0.965,1,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.995,1,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,1,50,0.25
CIIV,0.83,1,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.805,2,50,0.25
"VIPER ($A = \{0\}$, MC)",0.895,2,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.9,2,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.97,2,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.945,2,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,2,50,0.25
TSLS,0.735,2,50,0.25
PGMM-g,0.905,2,50,0.25
gIVBMA,0.96,2,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.99,2,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,2,50,0.25
CIIV,0.73,2,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.745,3,50,0.25
"VIPER ($A = \{0\}$, MC)",0.85,3,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.905,3,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.945,3,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.975,3,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.98,3,50,0.25
TSLS,0.64,3,50,0.25
PGMM-g,0.865,3,50,0.25
gIVBMA,0.955,3,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.985,3,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,50,0.25
CIIV,0.6,3,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.655,4,50,0.25
"VIPER ($A = \{0\}$, MC)",0.81,4,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.84,4,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.935,4,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.975,4,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,4,50,0.25
TSLS,0.53,4,50,0.25
PGMM-g,0.81,4,50,0.25
gIVBMA,0.95,4,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1,4,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,4,50,0.25
CIIV,0.525,4,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.625,5,50,0.25
"VIPER ($A = \{0\}$, MC)",0.835,5,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.81,5,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.94,5,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.985,5,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.995,5,50,0.25
TSLS,0.455,5,50,0.25
PGMM-g,0.755,5,50,0.25
gIVBMA,0.95,5,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.995,5,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,50,0.25
CIIV,0.38,5,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.95,0,500,0.1
"VIPER ($A = \{0\}$, MC)",0.96,0,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1,0,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",1,0,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.785,0,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.92,0,500,0.1
TSLS,0.95,0,500,0.1
PGMM-g,1,0,500,0.1
gIVBMA,0.905,0,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1,0,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,500,0.1
CIIV,0.915,0,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.845,1,500,0.1
"VIPER ($A = \{0\}$, MC)",0.59,1,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.96,1,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.945,1,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.84,1,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.93,1,500,0.1
TSLS,0.665,1,500,0.1
PGMM-g,0.91,1,500,0.1
gIVBMA,0.875,1,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.89,1,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,1,500,0.1
CIIV,0.755,1,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.64,2,500,0.1
"VIPER ($A = \{0\}$, MC)",0.355,2,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.955,2,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.955,2,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,2,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.935,2,500,0.1
TSLS,0.375,2,500,0.1
PGMM-g,0.715,2,500,0.1
gIVBMA,0.805,2,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.855,2,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,2,500,0.1
CIIV,0.5,2,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.26,3,500,0.1
"VIPER ($A = \{0\}$, MC)",0.15,3,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.91,3,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.94,3,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.955,3,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,3,500,0.1
TSLS,0.07,3,500,0.1
PGMM-g,0.285,3,500,0.1
gIVBMA,0.49,3,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.88,3,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,500,0.1
CIIV,0.125,3,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.05,4,500,0.1
"VIPER ($A = \{0\}$, MC)",0.05,4,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.855,4,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.9,4,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.99,4,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.935,4,500,0.1
TSLS,0.02,4,500,0.1
PGMM-g,0.06,4,500,0.1
gIVBMA,0.165,4,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.875,4,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,4,500,0.1
CIIV,0.02,4,500,0.1
